[2017-09-23 13:32:19] [INFO]Get domain list success[2017-09-23 13:33:59] [INFO]Get domain list success
[2017-09-23 13:34:00] [INFO]Get domain: tinytv.cn record list success
[2017-09-23 13:34:00] [INFO]Get domain: ifunsky.com record list success
[2017-09-23 13:34:00] [INFO]Get domain: iplaygames.cn record list success
[2017-09-23 13:34:00] [INFO]Get domain: weplaykit.com record list success
[2017-09-23 13:34:00] [INFO]Get domain: dskycloud.com record list success
[2017-09-23 13:34:00] [INFO]Get domain: dskypay.com record list success
[2017-09-23 13:34:01] [INFO]Get domain: gamdream.com record list success
[2017-09-23 13:34:01] [INFO]Get domain: powerchance.hk record list success
[2017-09-23 13:34:01] [INFO]Get domain: iguoplay.com record list success
[2017-09-23 13:34:01] [INFO]Get domain: soundmore.cn record list success
[2017-09-23 13:34:01] [INFO]Get domain: ldoverseas.com record list success
[2017-09-23 13:34:01] [INFO]Get domain: ldoverseas.hk record list success
[2017-09-23 13:34:01] [INFO]Get domain: xspeedsdk.com record list success
[2017-09-23 13:34:02] [INFO]Get domain: 53.vc record list success
[2017-09-23 13:34:02] [INFO]Get domain: 1uwan.com record list success
[2017-09-23 13:34:02] [INFO]Get domain: ttstudio.cc record list success
[2017-09-23 13:34:02] [INFO]Get domain: near.hk record list success
[2017-09-23 13:34:02] [INFO]Get domain: skytouch.com.hk record list success
[2017-09-23 13:34:02] [INFO]Get domain: iecgames.com record list success
[2017-09-23 13:34:02] [INFO]Get domain: iskytouch.com record list success
[2017-09-23 13:34:03] [INFO]Get domain: kimilab.com record list success
[2017-09-23 13:34:03] [INFO]Get domain: iplaychess.cn record list success
[2017-09-23 13:34:03] [INFO]Get domain: boxapps.cn record list success
[2017-09-23 13:34:03] [INFO]Get domain: gxpan.cn record list success
[2017-09-23 13:34:03] [INFO]Get domain: ak47ids.com record list success
[2017-09-23 13:34:03] [INFO]Get domain: mobgi.com record list success
[2017-09-23 13:34:03] [INFO]Get domain: idreamsky.com record list success
[2017-09-23 13:34:04] [INFO]Get domain: uu.cc record list success
[2017-09-23 13:34:04] [INFO]Get domain: ids111.com record list success
[2017-09-23 13:34:04] [INFO]Get domain: haozhuan.cc record list success
[2017-09-23 13:34:04] [INFO]Backup domain: ttstudio.cc records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: iguoplay.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: dskypay.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: ldoverseas.hk records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: weplaykit.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: mobgi.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: xspeedsdk.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: ids111.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: iskytouch.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: boxapps.cn records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: iplaygames.cn records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: iecgames.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: iplaychess.cn records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: uu.cc records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: 53.vc records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: soundmore.cn records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: kimilab.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: tinytv.cn records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: haozhuan.cc records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: gamdream.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: near.hk records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: gxpan.cn records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: dskycloud.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: idreamsky.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: 1uwan.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: ldoverseas.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: ifunsky.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: powerchance.hk records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: ak47ids.com records to local success
[2017-09-23 13:34:04] [INFO]Backup domain: skytouch.com.hk records to local success
